Crop production (kg/hectare),Year
5203.6,1989
5411.1,1990
5986.1,1991
5335.6,1992
5711.7,1993
5826.2,1994
6107.8,1995
6282,1996
6484.9,1997
6330.2,1998
6699.9,1999
6452.9,2000
6055.2,2001
6251.5,2002
6764.5,2003
7355.3,2004
6723.2,2005
6486.6,2006
6182.9,2007
7118.8,2008
7201.4,2009
6685.2,2010
6458.3,2011
6964.9,2012
7318,2013
8050.3,2014
7497.8,2015
7182.1,2016
